12/30 08:59:56.581  Gift of the Wild fades from Thefireball.
1/3 15:22:58.916  RABLOG_BAR: 7&rumseyrum&Rumsey Black Label&4&40&10&0&&
1/3 15:22:58.916  RABLOG_BAR: 8&merlot&Medivh's Merlot&3&40&7&0&&
1/3 15:22:58.916  RABLOG_BAR: 9&giants&Elixir of Giants&8&16&50&0&& wd
1/3 15:22:58.916  RABLOG_BAR: 10&firewater&Winterfall Firewater&7&21&33&0&& wsd
1/3 15:22:58.916  RABLOG_BAR: 11&jujumight&Juju Might&0&21&0&0&& wsd
1/3 15:22:58.916  RABLOG_BAR: 12&mushroomstam&Hardened Mushrooms&1&40&2&0&&
1/3 15:22:58.916  RABLOG_BAR: 13&telabimdelight&Dononzo's TelAbim Delight&3&40&7&0&&
1/3 15:22:58.916  RABLOG_BAR: 14&greaterarcane&Greater Arcane Elixir&3&9&33&0&& as
1/3 15:22:58.916  RABLOG_BAR: 15&dreamshard&Dreamshard Elixir&2&9&22&0&& as
1/3 15:22:58.916  RABLOG_BAR: 16&dreamtonic&Dream Tonic&2&9&22&0&& as
1/3 15:22:58.916  RABLOG_BAR: 17&emeraldmongoose&C-Emerald Mongoose&3&9&33&0&& as
1/3 15:22:58.916  RABLOG_BAR: 18&dreamwater&C-Dreamwater&3&9&33&0&& as
1/3 15:22:58.916  RABLOG_PLAYERS_WITH: supdef&Hooliganscha [Druid; G1], Pahuman [Warrior; G1], Pentti [Warrior; G2], Zhwalter [Shaman; G4], Woob [Warrior; G6], Bracsus [Warrior; G6]
1/3 15:22:58.916  RABLOG_PLAYERS_WITHOUT: supdef&Tankmedady [Paladin; G1], Cariad [Shaman; G1], Syrelia [Hunter; G1], Swifteye [Hunter; G2], Pahumarn [Shaman; G2], Leolight [Paladin; G2], Morihei [Druid; G2], Exage [Rogue; G3], Tugar [Warrior; G3], Shunitusk [Shaman; G3], Conrii [Hunter; G3], Wickedlight [Paladin; G3], Mopsis [Hunter; G4], Cellborne [Rogue; G4], Poru [Warrior; G4], Voxii [Warrior; G4], Herethicc [Priest; G5], Theldin [Warrior; G5], Smallbills [Warlock; G5], Royalseedpod [Druid; G5], Tezai [Priest; G5], Gljeto [Paladin; G6], Shamalaharis [Shaman; G6], Haethem [Rogue; G6], Buffnut [Druid; G7], Broomie [Druid; G7], Beefbrawl [Druid; G7], Soomha [Druid; G7], Dezii [Priest; G7], Davolution [Mage; G8], Logos [Mage; G8], Gurthnar [Mage; G8], Ryuum [Mage; G8], Mewnfyre [Druid; G8]
1/3 15:22:58.916  RABLOG_PLAYERS_WITH: giftarthas&Tankmedady [Paladin; G1], Hooliganscha [Druid; G1], Woob [Warrior; G6]
1/3 15:22:58.916  RABLOG_PLAYERS_WITHOUT: giftarthas&Cariad [Shaman; G1], Pahuman [Warrior; G1], Syrelia [Hunter; G1], Swifteye [Hunter; G2], Pentti [Warrior; G2], Pahumarn [Shaman; G2], Leolight [Paladin; G2], Morihei [Druid; G2], Exage [Rogue; G3], Tugar [Warrior; G3], Shunitusk [Shaman; G3], Conrii [Hunter; G3], Wickedlight [Paladin; G3], Zhwalter [Shaman; G4], Mopsis [Hunter; G4], Cellborne [Rogue; G4], Poru [Warrior; G4], Voxii [Warrior; G4], Herethicc [Priest; G5], Theldin [Warrior; G5], Smallbills [Warlock; G5], Royalseedpod [Druid; G5], Tezai [Priest; G5], Gljeto [Paladin; G6], Bracsus [Warrior; G6], Shamalaharis [Shaman; G6], Haethem [Rogue; G6], Buffnut [Druid; G7], Broomie [Druid; G7], Beefbrawl [Druid; G7], Soomha [Druid; G7], Dezii [Priest; G7], Davolution [Mage; G8], Logos [Mage; G8], Gurthnar [Mage; G8], Ryuum [Mage; G8], Mewnfyre [Druid; G8]
1/3 15:22:58.916  RABLOG_PLAYERS_WITH: mongoose&Hooliganscha [Druid; G1], Pahuman [Warrior; G1], Syrelia [Hunter; G1], Swifteye [Hunter; G2], Pentti [Warrior; G2], Pahumarn [Shaman; G2], Leolight [Paladin; G2], Morihei [Druid; G2], Exage [Rogue; G3], Tugar [Warrior; G3], Shunitusk [Shaman; G3], Conrii [Hunter; G3], Cellborne [Rogue; G4], Poru [Warrior; G4], Voxii [Warrior; G4], Gljeto [Paladin; G6], Woob [Warrior; G6], Bracsus [Warrior; G6], Haethem [Rogue; G6]
1/3 15:22:58.916  RABLOG_PLAYERS_WITHOUT: mongoose&Tankmedady [Paladin; G1], Cariad [Shaman; G1], Wickedlight [Paladin; G3], Zhwalter [Shaman; G4], Mopsis [Hunter; G4], Herethicc [Priest; G5], Theldin [Warrior; G5], Smallbills [Warlock; G5], Royalseedpod [Druid; G5], Tezai [Priest; G5], Shamalaharis [Shaman; G6], Buffnut [Druid; G7], Broomie [Druid; G7], Beefbrawl [Druid; G7], Soomha [Druid; G7], Dezii [Priest; G7], Davolution [Mage; G8], Logos [Mage; G8], Gurthnar [Mage; G8], Ryuum [Mage; G8], Mewnfyre [Druid; G8]
1/3 15:22:58.916  RABLOG_PLAYERS_WITH: roids&Cariad [Shaman; G1], Pentti [Warrior; G2], Pahumarn [Shaman; G2], Wickedlight [Paladin; G3], Woob [Warrior; G6], Bracsus [Warrior; G6]
1/3 15:22:58.916  RABLOG_PLAYERS_WITHOUT: roids&Tankmedady [Paladin; G1], Hooliganscha [Druid; G1], Pahuman [Warrior; G1], Syrelia [Hunter; G1], Swifteye [Hunter; G2], Leolight [Paladin; G2], Morihei [Druid; G2], Exage [Rogue; G3], Tugar [Warrior; G3], Shunitusk [Shaman; G3], Conrii [Hunter; G3], Zhwalter [Shaman; G4], Mopsis [Hunter; G4], Cellborne [Rogue; G4], Poru [Warrior; G4], Voxii [Warrior; G4], Herethicc [Priest; G5], Theldin [Warrior; G5], Smallbills [Warlock; G5], Royalseedpod [Druid; G5], Tezai [Priest; G5], Gljeto [Paladin; G6], Shamalaharis [Shaman; G6], Haethem [Rogue; G6], Buffnut [Druid; G7], Broomie [Druid; G7], Beefbrawl [Druid; G7], Soomha [Druid; G7], Dezii [Priest; G7], Davolution [Mage; G8], Logos [Mage; G8], Gurthnar [Mage; G8], Ryuum [Mage; G8], Mewnfyre [Druid; G8]
1/3 15:22:58.916  RABLOG_PLAYERS_WITH: titans&Tankmedady [Paladin; G1], Hooliganscha [Druid; G1], Pahuman [Warrior; G1], Pentti [Warrior; G2], Leolight [Paladin; G2], Woob [Warrior; G6], Haethem [Rogue; G6]
1/3 15:22:58.916  RABLOG_PLAYERS_WITHOUT: titans&Cariad [Shaman; G1], Syrelia [Hunter; G1], Swifteye [Hunter; G2], Pahumarn [Shaman; G2], Morihei [Druid; G2], Exage [Rogue; G3], Tugar [Warrior; G3], Shunitusk [Shaman; G3], Conrii [Hunter; G3], Wickedlight [Paladin; G3], Zhwalter [Shaman; G4], Mopsis [Hunter; G4], Cellborne [Rogue; G4], Poru [Warrior; G4], Voxii [Warrior; G4], Herethicc [Priest; G5], Theldin [Warrior; G5], Smallbills [Warlock; G5], Royalseedpod [Druid; G5], Tezai [Priest; G5], Gljeto [Paladin; G6], Bracsus [Warrior; G6], Shamalaharis [Shaman; G6], Buffnut [Druid; G7], Broomie [Druid; G7], Beefbrawl [Druid; G7], Soomha [Druid; G7], Dezii [Priest; G7], Davolution [Mage; G8], Logos [Mage; G8], Gurthnar [Mage; G8], Ryuum [Mage; G8], Mewnfyre [Druid; G8]
1/3 15:22:58.916  RABLOG_PLAYERS_WITH: scorpok&Hooliganscha [Druid; G1], Syrelia [Hunter; G1], Swifteye [Hunter; G2], Morihei [Druid; G2], Exage [Rogue; G3], Conrii [Hunter; G3], Mopsis [Hunter; G4], Cellborne [Rogue; G4]
1/3 15:22:58.916  RABLOG_PLAYERS_WITHOUT: scorpok&Tankmedady [Paladin; G1], Cariad [Shaman; G1], Pahuman [Warrior; G1], Pentti [Warrior; G2], Pahumarn [Shaman; G2], Leolight [Paladin; G2], Tugar [Warrior; G3], Shunitusk [Shaman; G3], Wickedlight [Paladin; G3], Zhwalter [Shaman; G4], Poru [Warrior; G4], Voxii [Warrior; G4], Herethicc [Priest; G5], Theldin [Warrior; G5], Smallbills [Warlock; G5], Royalseedpod [Druid; G5], Tezai [Priest; G5], Gljeto [Paladin; G6], Woob [Warrior; G6], Bracsus [Warrior; G6], Shamalaharis [Shaman; G6], Haethem [Rogue; G6], Buffnut [Druid; G7], Broomie [Druid; G7], Beefbrawl [Druid; G7], Soomha [Druid; G7], Dezii [Priest; G7], Davolution [Mage; G8], Logos [Mage; G8], Gurthnar [Mage; G8], Ryuum [Mage; G8], Mewnfyre [Druid; G8]
1/3 15:22:58.916  RABLOG_PLAYERS_WITH: rumseyrum&Hooliganscha [Druid; G1], Pahuman [Warrior; G1], Woob [Warrior; G6], Logos [Mage; G8]
1/3 15:22:58.916  RABLOG_PLAYERS_WITHOUT: rumseyrum&Tankmedady [Paladin; G1], Cariad [Shaman; G1], Syrelia [Hunter; G1], Swifteye [Hunter; G2], Pentti [Warrior; G2], Pahumarn [Shaman; G2], Leolight [Paladin; G2], Morihei [Druid; G2], Exage [Rogue; G3], Tugar [Warrior; G3], Shunitusk [Shaman; G3], Conrii [Hunter; G3], Wickedlight [Paladin; G3], Zhwalter [Shaman; G4], Mopsis [Hunter; G4], Cellborne [Rogue; G4], Poru [Warrior; G4], Voxii [Warrior; G4], Herethicc [Priest; G5], Theldin [Warrior; G5], Smallbills [Warlock; G5], Royalseedpod [Druid; G5], Tezai [Priest; G5], Gljeto [Paladin; G6], Bracsus [Warrior; G6], Shamalaharis [Shaman; G6], Haethem [Rogue; G6], Buffnut [Druid; G7], Broomie [Druid; G7], Beefbrawl [Druid; G7], Soomha [Druid; G7], Dezii [Priest; G7], Davolution [Mage; G8], Gurthnar [Mage; G8], Ryuum [Mage; G8], Mewnfyre [Druid; G8]
1/3 15:22:58.916  RABLOG_PLAYERS_WITH: merlot&Hooliganscha [Druid; G1], Pahuman [Warrior; G1], Woob [Warrior; G6]
1/3 15:22:58.916  RABLOG_PLAYERS_WITHOUT: merlot&Tankmedady [Paladin; G1], Cariad [Shaman; G1], Syrelia [Hunter; G1], Swifteye [Hunter; G2], Pentti [Warrior; G2], Pahumarn [Shaman; G2], Leolight [Paladin; G2], Morihei [Druid; G2], Exage [Rogue; G3], Tugar [Warrior; G3], Shunitusk [Shaman; G3], Conrii [Hunter; G3], Wickedlight [Paladin; G3], Zhwalter [Shaman; G4], Mopsis [Hunter; G4], Cellborne [Rogue; G4], Poru [Warrior; G4], Voxii [Warrior; G4], Herethicc [Priest; G5], Theldin [Warrior; G5], Smallbills [Warlock; G5], Royalseedpod [Druid; G5], Tezai [Priest; G5], Gljeto [Paladin; G6], Bracsus [Warrior; G6], Shamalaharis [Shaman; G6], Haethem [Rogue; G6], Buffnut [Druid; G7], Broomie [Druid; G7], Beefbrawl [Druid; G7], Soomha [Druid; G7], Dezii [Priest; G7], Davolution [Mage; G8], Logos [Mage; G8], Gurthnar [Mage; G8], Ryuum [Mage; G8], Mewnfyre [Druid; G8]
1/3 15:22:58.916  RABLOG_PLAYERS_WITH: giants&Hooliganscha [Druid; G1], Pentti [Warrior; G2], Morihei [Druid; G2], Tugar [Warrior; G3], Voxii [Warrior; G4], Poru [Warrior; G4], Woob [Warrior; G6], Bracsus [Warrior; G6]
1/3 15:22:58.916  RABLOG_PLAYERS_WITHOUT: giants&Pahuman [Warrior; G1], Royalseedpod [Druid; G5], Theldin [Warrior; G5], Soomha [Druid; G7], Buffnut [Druid; G7], Broomie [Druid; G7], Beefbrawl [Druid; G7], Mewnfyre [Druid; G8]
1/3 15:22:58.916  RABLOG_PLAYERS_WITH: firewater&Hooliganscha [Druid; G1], Pahuman [Warrior; G1], Pahumarn [Shaman; G2], Voxii [Warrior; G4], Poru [Warrior; G4], Bracsus [Warrior; G6], Woob [Warrior; G6]
1/3 15:22:58.916  RABLOG_PLAYERS_WITHOUT: firewater&Cariad [Shaman; G1], Morihei [Druid; G2], Pentti [Warrior; G2], Tugar [Warrior; G3], Shunitusk [Shaman; G3], Zhwalter [Shaman; G4], Theldin [Warrior; G5], Royalseedpod [Druid; G5], Shamalaharis [Shaman; G6], Broomie [Druid; G7], Beefbrawl [Druid; G7], Buffnut [Druid; G7], Soomha [Druid; G7], Mewnfyre [Druid; G8]
1/3 15:22:58.916  RABLOG_PLAYERS_WITHOUT: jujumight&Hooliganscha [Druid; G1], Pahuman [Warrior; G1], Cariad [Shaman; G1], Morihei [Druid; G2], Pahumarn [Shaman; G2], Pentti [Warrior; G2], Tugar [Warrior; G3], Shunitusk [Shaman; G3], Zhwalter [Shaman; G4], Voxii [Warrior; G4], Poru [Warrior; G4], Theldin [Warrior; G5], Royalseedpod [Druid; G5], Bracsus [Warrior; G6], Woob [Warrior; G6], Shamalaharis [Shaman; G6], Broomie [Druid; G7], Beefbrawl [Druid; G7], Buffnut [Druid; G7], Soomha [Druid; G7], Mewnfyre [Druid; G8]
1/3 15:22:58.916  RABLOG_PLAYERS_WITH: mushroomstam&Pahuman [Warrior; G1]
1/3 15:22:58.916  RABLOG_PLAYERS_WITHOUT: mushroomstam&Tankmedady [Paladin; G1], Hooliganscha [Druid; G1], Cariad [Shaman; G1], Syrelia [Hunter; G1], Swifteye [Hunter; G2], Pentti [Warrior; G2], Pahumarn [Shaman; G2], Leolight [Paladin; G2], Morihei [Druid; G2], Exage [Rogue; G3], Tugar [Warrior; G3], Shunitusk [Shaman; G3], Conrii [Hunter; G3], Wickedlight [Paladin; G3], Zhwalter [Shaman; G4], Mopsis [Hunter; G4], Cellborne [Rogue; G4], Poru [Warrior; G4], Voxii [Warrior; G4], Herethicc [Priest; G5], Theldin [Warrior; G5], Smallbills [Warlock; G5], Royalseedpod [Druid; G5], Tezai [Priest; G5], Gljeto [Paladin; G6], Woob [Warrior; G6], Bracsus [Warrior; G6], Shamalaharis [Shaman; G6], Haethem [Rogue; G6], Buffnut [Druid; G7], Broomie [Druid; G7], Beefbrawl [Druid; G7], Soomha [Druid; G7], Dezii [Priest; G7], Davolution [Mage; G8], Logos [Mage; G8], Gurthnar [Mage; G8], Ryuum [Mage; G8], Mewnfyre [Druid; G8]
1/3 15:22:58.916  RABLOG_PLAYERS_WITH: telabimdelight&Herethicc [Priest; G5], Dezii [Priest; G7], Gurthnar [Mage; G8]
1/3 15:22:58.916  RABLOG_PLAYERS_WITHOUT: telabimdelight&Tankmedady [Paladin; G1], Hooliganscha [Druid; G1], Cariad [Shaman; G1], Pahuman [Warrior; G1], Syrelia [Hunter; G1], Swifteye [Hunter; G2], Pentti [Warrior; G2], Pahumarn [Shaman; G2], Leolight [Paladin; G2], Morihei [Druid; G2], Exage [Rogue; G3], Tugar [Warrior; G3], Shunitusk [Shaman; G3], Conrii [Hunter; G3], Wickedlight [Paladin; G3], Zhwalter [Shaman; G4], Mopsis [Hunter; G4], Cellborne [Rogue; G4], Poru [Warrior; G4], Voxii [Warrior; G4], Theldin [Warrior; G5], Smallbills [Warlock; G5], Royalseedpod [Druid; G5], Tezai [Priest; G5], Gljeto [Paladin; G6], Woob [Warrior; G6], Bracsus [Warrior; G6], Shamalaharis [Shaman; G6], Haethem [Rogue; G6], Buffnut [Druid; G7], Broomie [Druid; G7], Beefbrawl [Druid; G7], Soomha [Druid; G7], Davolution [Mage; G8], Logos [Mage; G8], Ryuum [Mage; G8], Mewnfyre [Druid; G8]
1/3 15:22:58.916  RABLOG_PLAYERS_WITH: greaterarcane&Leolight [Paladin; G2], Shunitusk [Shaman; G3], Zhwalter [Shaman; G4]
1/3 15:22:58.916  RABLOG_PLAYERS_WITHOUT: greaterarcane&Tankmedady [Paladin; G1], Cariad [Shaman; G1], Pahumarn [Shaman; G2], Wickedlight [Paladin; G3], Shamalaharis [Shaman; G6], Gljeto [Paladin; G6]
1/3 15:22:58.916  RABLOG_PLAYERS_WITH: dreamshard&Shunitusk [Shaman; G3], Shamalaharis [Shaman; G6]
1/3 15:22:58.916  RABLOG_PLAYERS_WITHOUT: dreamshard&Tankmedady [Paladin; G1], Cariad [Shaman; G1], Pahumarn [Shaman; G2], Leolight [Paladin; G2], Wickedlight [Paladin; G3], Zhwalter [Shaman; G4], Gljeto [Paladin; G6]
1/3 15:22:58.916  RABLOG_PLAYERS_WITH: dreamtonic&Shunitusk [Shaman; G3], Zhwalter [Shaman; G4]
1/3 15:22:58.916  RABLOG_PLAYERS_WITHOUT: dreamtonic&Tankmedady [Paladin; G1], Cariad [Shaman; G1], Pahumarn [Shaman; G2], Leolight [Paladin; G2], Wickedlight [Paladin; G3], Shamalaharis [Shaman; G6], Gljeto [Paladin; G6]
1/3 15:22:58.916  RABLOG_PLAYERS_WITH: emeraldmongoose&Tankmedady [Paladin; G1], Cariad [Shaman; G1], Wickedlight [Paladin; G3]
1/3 15:22:58.916  RABLOG_PLAYERS_WITHOUT: emeraldmongoose&Pahumarn [Shaman; G2], Leolight [Paladin; G2], Shunitusk [Shaman; G3], Zhwalter [Shaman; G4], Shamalaharis [Shaman; G6], Gljeto [Paladin; G6]
1/3 15:22:58.916  RABLOG_PLAYERS_WITH: dreamwater&Tankmedady [Paladin; G1], Cariad [Shaman; G1], Wickedlight [Paladin; G3]
1/3 15:22:58.916  RABLOG_PLAYERS_WITHOUT: dreamwater&Pahumarn [Shaman; G2], Leolight [Paladin; G2], Shunitusk [Shaman; G3], Zhwalter [Shaman; G4], Shamalaharis [Shaman; G6], Gljeto [Paladin; G6]
1/3 15:22:58.916  RABLOG_END: 6
1/3 15:28:18.042  RABLOG_PULL: 2026-01-03 15:28:18&15:28:18&18:38&6&bt_tank&Tankmedady&Nordanaar&Hooliganscha&RAID/40&Stalagg
1/3 15:28:18.042  RABLOG_BAR: 1&supdef&Superior Defense&6&40&15&0&&
1/3 15:28:18.042  RABLOG_BAR: 2&giftarthas&Gift of Arthas&3&40&7&0&&
1/3 15:28:18.042  RABLOG_BAR: 3&mongoose&Mongoose&20&40&50&0&&
1/3 15:28:18.042  RABLOG_BAR: 4&roids&R.O.I.D.S.&6&40&15&0&&
1/3 15:28:18.042  RABLOG_BAR: 5&titans&Flask of the Titans&7&40&17&0&&
1/3 15:28:18.042  RABLOG_BAR: 6&scorpok&Assay&8&40&20&0&&
1/3 15:28:18.042  RABLOG_BAR: 7&rumseyrum&Rumsey Black Label&3&40&7&0&&
1/3 15:28:18.042  RABLOG_BAR: 8&merlot&Medivh's Merlot&2&40&5&0&&
1/3 15:28:18.042  RABLOG_BAR: 9&giants&Elixir of Giants&8&16&50&0&& wd
1/3 15:28:18.042  RABLOG_BAR: 10&firewater&Winterfall Firewater&7&21&33&0&& wsd
1/3 15:28:18.042  RABLOG_BAR: 11&jujumight&Juju Might&0&21&0&0&& wsd
1/3 15:28:18.042  RABLOG_BAR: 12&mushroomstam&Hardened Mushrooms&0&40&0&0&&
1/3 15:28:18.042  RABLOG_BAR: 13&telabimdelight&Dononzo's TelAbim Delight&1&40&2&0&&
1/3 15:28:18.042  RABLOG_BAR: 14&greaterarcane&Greater Arcane Elixir&3&9&33&0&& as
1/3 15:28:18.042  RABLOG_BAR: 15&dreamshard&Dreamshard Elixir&2&9&22&0&& as
1/3 15:28:18.042  RABLOG_BAR: 16&dreamtonic&Dream Tonic&1&9&11&0&& as
1/3 15:28:18.042  RABLOG_BAR: 17&emeraldmongoose&C-Emerald Mongoose&3&9&33&0&& as
1/3 15:28:18.042  RABLOG_BAR: 18&dreamwater&C-Dreamwater&3&9&33&0&& as
1/3 15:28:18.042  RABLOG_PLAYERS_WITH: supdef&Hooliganscha [Druid; G1], Pahuman [Warrior; G1], Pentti [Warrior; G2], Zhwalter [Shaman; G4], Woob [Warrior; G6], Bracsus [Warrior; G6]
1/3 15:28:18.042  RABLOG_PLAYERS_WITHOUT: supdef&Tankmedady [Paladin; G1], Cariad [Shaman; G1], Syrelia [Hunter; G1], Swifteye [Hunter; G2], Pahumarn [Shaman; G2], Leolight [Paladin; G2], Morihei [Druid; G2], Exage [Rogue; G3], Tugar [Warrior; G3], Shunitusk [Shaman; G3], Conrii [Hunter; G3], Wickedlight [Paladin; G3], Mopsis [Hunter; G4], Cellborne [Rogue; G4], Poru [Warrior; G4], Voxii [Warrior; G4], Herethicc [Priest; G5], Theldin [Warrior; G5], Smallbills [Warlock; G5], Royalseedpod [Druid; G5], Tezai [Priest; G5], Gljeto [Paladin; G6], Shamalaharis [Shaman; G6], Haethem [Rogue; G6], Buffnut [Druid; G7], Broomie [Druid; G7], Beefbrawl [Druid; G7], Soomha [Druid; G7], Dezii [Priest; G7], Davolution [Mage; G8], Logos [Mage; G8], Gurthnar [Mage; G8], Ryuum [Mage; G8], Mewnfyre [Druid; G8]
1/3 15:28:18.042  RABLOG_PLAYERS_WITH: giftarthas&Tankmedady [Paladin; G1], Hooliganscha [Druid; G1], Woob [Warrior; G6]
1/3 15:28:18.042  RABLOG_PLAYERS_WITHOUT: giftarthas&Cariad [Shaman; G1], Pahuman [Warrior; G1], Syrelia [Hunter; G1], Swifteye [Hunter; G2], Pentti [Warrior; G2], Pahumarn [Shaman; G2], Leolight [Paladin; G2], Morihei [Druid; G2], Exage [Rogue; G3], Tugar [Warrior; G3], Shunitusk [Shaman; G3], Conrii [Hunter; G3], Wickedlight [Paladin; G3], Zhwalter [Shaman; G4], Mopsis [Hunter; G4], Cellborne [Rogue; G4], Poru [Warrior; G4], Voxii [Warrior; G4], Herethicc [Priest; G5], Theldin [Warrior; G5], Smallbills [Warlock; G5], Royalseedpod [Druid; G5], Tezai [Priest; G5], Gljeto [Paladin; G6], Bracsus [Warrior; G6], Shamalaharis [Shaman; G6], Haethem [Rogue; G6], Buffnut [Druid; G7], Broomie [Druid; G7], Beefbrawl [Druid; G7], Soomha [Druid; G7], Dezii [Priest; G7], Davolution [Mage; G8], Logos [Mage; G8], Gurthnar [Mage; G8], Ryuum [Mage; G8], Mewnfyre [Druid; G8]
1/3 15:28:18.042  RABLOG_PLAYERS_WITH: mongoose&Hooliganscha [Druid; G1], Pahuman [Warrior; G1], Syrelia [Hunter; G1], Swifteye [Hunter; G2], Pentti [Warrior; G2], Pahumarn [Shaman; G2], Leolight [Paladin; G2], Morihei [Druid; G2], Exage [Rogue; G3], Tugar [Warrior; G3], Shunitusk [Shaman; G3], Conrii [Hunter; G3], Mopsis [Hunter; G4], Cellborne [Rogue; G4], Poru [Warrior; G4], Voxii [Warrior; G4], Gljeto [Paladin; G6], Woob [Warrior; G6], Bracsus [Warrior; G6], Haethem [Rogue; G6]
1/3 15:28:18.042  RABLOG_PLAYERS_WITHOUT: mongoose&Tankmedady [Paladin; G1], Cariad [Shaman; G1], Wickedlight [Paladin; G3], Zhwalter [Shaman; G4], Herethicc [Priest; G5], Theldin [Warrior; G5], Smallbills [Warlock; G5], Royalseedpod [Druid; G5], Tezai [Priest; G5], Shamalaharis [Shaman; G6], Buffnut [Druid; G7], Broomie [Druid; G7], Beefbrawl [Druid; G7], Soomha [Druid; G7], Dezii [Priest; G7], Davolution [Mage; G8], Logos [Mage; G8], Gurthnar [Mage; G8], Ryuum [Mage; G8], Mewnfyre [Druid; G8]
1/3 15:28:18.042  RABLOG_PLAYERS_WITH: roids&Cariad [Shaman; G1], Pentti [Warrior; G2], Pahumarn [Shaman; G2], Wickedlight [Paladin; G3], Woob [Warrior; G6], Bracsus [Warrior; G6]
1/3 15:28:18.042  RABLOG_PLAYERS_WITHOUT: roids&Tankmedady [Paladin; G1], Hooliganscha [Druid; G1], Pahuman [Warrior; G1], Syrelia [Hunter; G1], Swifteye [Hunter; G2], Leolight [Paladin; G2], Morihei [Druid; G2], Exage [Rogue; G3], Tugar [Warrior; G3], Shunitusk [Shaman; G3], Conrii [Hunter; G3], Zhwalter [Shaman; G4], Mopsis [Hunter; G4], Cellborne [Rogue; G4], Poru [Warrior; G4], Voxii [Warrior; G4], Herethicc [Priest; G5], Theldin [Warrior; G5], Smallbills [Warlock; G5], Royalseedpod [Druid; G5], Tezai [Priest; G5], Gljeto [Paladin; G6], Shamalaharis [Shaman; G6], Haethem [Rogue; G6], Buffnut [Druid; G7], Broomie [Druid; G7], Beefbrawl [Druid; G7], Soomha [Druid; G7], Dezii [Priest; G7], Davolution [Mage; G8], Logos [Mage; G8], Gurthnar [Mage; G8], Ryuum [Mage; G8], Mewnfyre [Druid; G8]
1/3 15:28:18.042  RABLOG_PLAYERS_WITH: titans&Tankmedady [Paladin; G1], Hooliganscha [Druid; G1], Pahuman [Warrior; G1], Pentti [Warrior; G2], Leolight [Paladin; G2], Woob [Warrior; G6], Haethem [Rogue; G6]
1/3 15:28:18.042  RABLOG_PLAYERS_WITHOUT: titans&Cariad [Shaman; G1], Syrelia [Hunter; G1], Swifteye [Hunter; G2], Pahumarn [Shaman; G2], Morihei [Druid; G2], Exage [Rogue; G3], Tugar [Warrior; G3], Shunitusk [Shaman; G3], Conrii [Hunter; G3], Wickedlight [Paladin; G3], Zhwalter [Shaman; G4], Mopsis [Hunter; G4], Cellborne [Rogue; G4], Poru [Warrior; G4], Voxii [Warrior; G4], Herethicc [Priest; G5], Theldin [Warrior; G5], Smallbills [Warlock; G5], Royalseedpod [Druid; G5], Tezai [Priest; G5], Gljeto [Paladin; G6], Bracsus [Warrior; G6], Shamalaharis [Shaman; G6], Buffnut [Druid; G7], Broomie [Druid; G7], Beefbrawl [Druid; G7], Soomha [Druid; G7], Dezii [Priest; G7], Davolution [Mage; G8], Logos [Mage; G8], Gurthnar [Mage; G8], Ryuum [Mage; G8], Mewnfyre [Druid; G8]
1/3 15:28:18.042  RABLOG_PLAYERS_WITH: scorpok&Hooliganscha [Druid; G1], Syrelia [Hunter; G1], Swifteye [Hunter; G2], Morihei [Druid; G2], Exage [Rogue; G3], Conrii [Hunter; G3], Mopsis [Hunter; G4], Cellborne [Rogue; G4]
1/3 15:28:18.042  RABLOG_PLAYERS_WITHOUT: scorpok&Tankmedady [Paladin; G1], Cariad [Shaman; G1], Pahuman [Warrior; G1], Pentti [Warrior; G2], Pahumarn [Shaman; G2], Leolight [Paladin; G2], Tugar [Warrior; G3], Shunitusk [Shaman; G3], Wickedlight [Paladin; G3], Zhwalter [Shaman; G4], Poru [Warrior; G4], Voxii [Warrior; G4], Herethicc [Priest; G5], Theldin [Warrior; G5], Smallbills [Warlock; G5], Royalseedpod [Druid; G5], Tezai [Priest; G5], Gljeto [Paladin; G6], Woob [Warrior; G6], Bracsus [Warrior; G6], Shamalaharis [Shaman; G6], Haethem [Rogue; G6], Buffnut [Druid; G7], Broomie [Druid; G7], Beefbrawl [Druid; G7], Soomha [Druid; G7], Dezii [Priest; G7], Davolution [Mage; G8], Logos [Mage; G8], Gurthnar [Mage; G8], Ryuum [Mage; G8], Mewnfyre [Druid; G8]
1/3 15:28:18.042  RABLOG_PLAYERS_WITH: rumseyrum&Hooliganscha [Druid; G1], Woob [Warrior; G6], Logos [Mage; G8]
